Data;Dia da semana;Semana do mês;Mês do ano;Faturamento bruto;Descontos;Quantidade;Quantidade Melhores-Ofertas;Quantidade Restantes;Faturamento liquido;Receita Melhores-Ofertas;Receita Restantes;Custo_BRL;Impostos;Cotação_USD;Cotação_USD_Corrigida;Frete preço;Taxa de gateway;Taxa de checkout;Pedidos;Pedidos válidos;Trocas ou Devoluções;Investimento Google Ads;Clicks Google Ads;Impressões Google Ads;Conversões Google Ads;Alcance Facebook Ads;Impressões Facebook Ads;Investimento Facebook Ads;Clicks Facebook Ads;Receita Facebook Ads;ROAS Facebook Ads;Investimento em ads;Lucro;Sessões;Bounce Rate (%);Duração Média Sessão (s);view_item;add_to_cart;begin_checkout;add_payment_info;purchase;KeyRate view_item (%);KeyRate add_to_cart (%);KeyRate begin_checkout (%);KeyRate add_payment_info (%);KeyRate purchase (%);taxa_sessao_para_pdp_%;taxa_pdp_para_atc_%;taxa_atc_para_checkout_%;taxa_checkout_para_pagamento_%;taxa_pagamento_para_purchase_%;taxa_sessao_para_purchase_%;Ticket Médio;Conversão por Sessão (%);Faturamento por Sessão;Lucro por Sessão;CPM Google Ads;CPC Google Ads;CTR Google Ads (%);CPM Facebook Ads;CPM Geral;ROAS Total;CPA;CPS;Margem sobre Receita (%);Custo Total por Pedido;Frete Médio por Pedido;Novos_Clientes;Recorrentes_Clientes;Total_Clientes;Taxa de Recorrência (%);Receita Clientes Novos;Receita Clientes Recorrentes;% Receita Novos;% Receita Recorrentes;Total de pedidos de clientes novos;Total de pedidos de clientes recorrentes;Ticket Médio Clientes Novos;Ticket Médio Clientes Recorrentes;CAC;LTV Médio;LTV/CAC
2025-11-12;quarta-feira;3;Novembro;65861,80;23813,01;256;97;159;42048,79;12277,28;29771,51;19122,66;3812,90;5,29;5,61;1002,01;1597,79;252,36;94;86;8,00;1414,84;454;15844;12,63;165340;237088;6828,05;4355;34667,86;5,08;8242,89;10022,20;4297,00;0,64;413,79;3400;1021;183;82;62;45,57;7,49;3,10;1,47;1,37;79,12;30,03;17,92;44,81;75,61;1,44;447,33;2,19;9,79;2,33;89,30;3,12;2,87;28,80;32,59;5,10;87,69;1,92;23,83;24873,40;10,66;40;41;81;50,62;18493,81;23515,08;43,98;55,92;40;46;462,35;511,20;206,07;511,36;2,48
2025-11-11;terça-feira;3;Novembro;63903,34;21405,35;256;94;162;42497,99;10188,93;32309,06;18729,66;3853,79;5,27;5,59;1092,06;1614,85;255,04;91;84;7,00;1422,13;503;15714;17,01;173802;247842;7291,45;4086;34081,79;4,67;8713,58;10423,13;4244,00;0,36;136,31;3926;955;242;99;73;49,58;7,45;3,93;1,96;1,67;92,51;24,33;25,34;40,91;73,74;1,72;467,01;2,14;10,01;2,46;90,50;2,83;3,20;29,42;33,06;4,88;95,75;2,05;24,53;24549,09;12,00;39;45;84;53,57;18793,86;23672,33;44,22;55,70;39;45;481,89;526,05;223,43;489,58;2,19
2025-11-10;segunda-feira;3;Novembro;31380,01;9297,19;129;50;79;22082,82;6624,55;15458,27;9292,63;2009,47;5,32;5,64;549,87;839,08;132,50;51;48;3,00;1033,33;370;13210;10,26;211248;297633;7367,51;4655;22957,98;3,12;8400,84;1958,17;3923,00;0,37;195,46;3509;733;156;65;45;50,75;5,99;2,93;1,17;1,10;89,45;20,89;21,28;41,67;69,23;1,15;433,00;1,30;5,63;0,50;78,22;2,79;2,80;24,75;27,03;2,63;164,72;2,14;8,87;12438,40;10,78;20;26;46;56,52;7877,97;14095,85;35,67;63,83;20;28;393,90;503,42;420,04;475,45;1,13
2025-11-09;domingo;2;Novembro;36115,83;9062,21;136;44;92;27053,62;7284,21;19769,41;10433,09;2461,88;5,36;5,68;664,93;1028,01;162,31;64;64;0,00;1236,47;387;15107;11,58;201776;299236;8607,03;4937;23991,05;2,79;9843,50;3789,76;4083,00;0,36;106,30;3776;770;154;76;52;52,44;5,85;2,99;1,54;1,25;92,48;20,39;20,00;49,35;68,42;1,27;422,71;1,57;6,63;0,93;81,85;3,20;2,56;28,76;31,31;2,75;153,80;2,41;14,01;14239,09;10,39;40;22;62;35,48;14216,01;12837,61;52,55;47,45;40;24;355,40;534,90;246,09;446,68;1,82
2025-11-08;sábado;2;Novembro;37255,75;10585,74;143;60;83;26670,01;8801,09;17868,92;11123,96;2426,94;5,36;5,68;560,39;1013,40;160,04;53;52;1,00;871,50;306;12999;11,87;175213;264817;8054,64;4227;21607,86;2,68;8926,14;3579,92;3571,00;0,36;104,80;3196;696;147;69;48;51,61;5,80;2,83;1,48;1,34;89,50;21,78;21,12;46,94;69,57;1,34;503,21;1,48;7,47;1,00;67,04;2,85;2,35;30,42;32,13;2,99;168,42;2,50;13,42;14892,76;10,57;34;17;51;33,33;16999,10;9670,01;63,74;36,26;34;18;499,97;537,22;262,53;542,02;2,06
2025-11-07;sexta-feira;2;Novembro;58449,70;19778,57;228;77;151;38671,13;9136,38;29534,75;17109,97;3518,99;5,36;5,68;933,04;1469,46;232,06;84;79;5,00;963,02;339;10849;16,95;162036;233427;6718,84;4198;35221,80;5,24;7681,86;9591,83;4424,00;0,37;108,20;3887;853;175;103;69;50,90;5,61;2,89;1,65;1,45;87,86;21,94;20,52;58,86;66,99;1,56;460,37;1,90;8,74;2,17;88,77;2,84;3,12;28,78;31,45;5,03;91,45;1,74;24,80;22421,93;11,11;30;45;75;60,00;13535,74;25131,79;35,00;64,99;30;49;451,19;512,89;256,06;483,89;1,89
2025-11-06;quinta-feira;2;Novembro;67639,61;21502,39;255;83;172;46137,22;10546,87;35590,35;19374,27;4198,44;5,35;5,67;923,51;1753,18;276,85;88;81;7,00;995,10;366;11918;18,32;149906;217330;6368,71;3940;33138,60;5,20;7363,81;14094,18;4624,00;0,39;194,64;4352;1074;223;123;76;49,22;6,70;3,57;1,90;1,62;94,12;24,68;20,76;55,16;61,79;1,64;524,29;1,90;9,98;3,05;83,50;2,72;3,07;29,30;32,12;6,27;83,68;1,59;30,55;25686,42;10,49;36;43;79;54,43;18885,36;27251,86;40,93;59,07;36;45;524,59;605,60;204,55;596,28;2,92
2025-11-05;quarta-feira;2;Novembro;55845,12;17127,09;223;54;169;38718,03;8907,73;29810,30;16908,43;3523,29;5,38;5,70;538,26;1471,26;232,33;62;55;7,00;939,65;362;12327;22,50;161448;237590;6470,83;4174;21073,96;3,26;7410,48;9710,50;3794,00;0,36;116,43;3589;819;196;74;54;50,18;6,59;3,64;1,63;1,37;94,60;22,82;23,93;37,76;72,97;1,42;624,48;1,63;10,21;2,56;76,23;2,60;2,94;27,24;29,65;5,22;119,52;1,95;25,08;22254,83;8,68;24;29;53;54,72;20801,94;17916,09;53,73;46,27;24;31;866,75;577,94;308,77;793,66;2,57
2025-11-04;terça-feira;2;Novembro;40421,54;11918,52;168;68;100;28503,02;9683,19;18819,83;12263,01;2593,77;5,38;5,71;0,00;1083,09;171,02;65;58;7,00;901,86;350;13292;15,77;146834;209461;5548,85;3827;23716,12;4,27;6450,71;5941,42;4145,00;0,40;102,79;3628;668;148;88;52;45,96;5,55;2,75;1,47;1,18;87,53;18,41;22,16;59,46;59,09;1,25;438,51;1,57;6,88;1,43;67,85;2,58;2,63;26,49;28,96;4,42;99,24;1,56;20,84;16210,13;0,00;35;20;55;36,36;16616,79;11813,98;58,30;41,45;35;23;474,77;513,65;184,31;556,23;3,02
2025-11-03;segunda-feira;2;Novembro;58834,37;16022,40;238;91;147;42811,97;13352,52;29459,45;17582,25;3895,86;5,35;5,67;261,16;1626,89;256,87;83;80;3,00;859,89;332;12759;10,98;161832;231200;5510,57;3886;26796,90;4,86;6370,46;13340,80;3918,00;0,37;124,54;3553;751;187;111;70;47,22;6,53;3,50;2,09;1,71;90,68;21,14;24,90;59,36;63,06;1,79;515,81;2,12;10,93;3,41;67,39;2,59;2,60;23,83;26,11;6,72;76,75;1,63;31,16;23438,62;3,15;26;50;76;65,79;13659,42;29109,31;31,91;67,99;26;54;525,36;539,06;245,02;648,73;2,65
